iter	RMSE
0	3961.66105
1	3887.562315
2	3814.321395
3	3742.425601
4	3672.47511
5	3603.20825
6	3535.72996
7	3470.074835
8	3405.298037
9	3342.545197
10	3280.775004
11	3219.659436
12	3160.485326
13	3102.094465
14	3045.233933
15	2989.152956
16	2934.665941
17	2880.765896
18	2828.097312
19	2776.760316
20	2725.831391
21	2676.51553
22	2628.271983
23	2580.57893
24	2533.938568
25	2488.38828
26	2443.878297
27	2399.634362
28	2357.21179
29	2315.24424
30	2274.350307
31	2234.369135
32	2194.956611
33	2156.82042
34	2119.332949
35	2082.29271
36	2045.989714
37	2010.974205
38	1976.515772
39	1942.614869
40	1909.370851
41	1876.785475
42	1845.187862
43	1813.757164
44	1783.151579
45	1753.202967
46	1724.182449
47	1695.487325
48	1667.63448
49	1640.602547
50	1613.946484
51	1587.722055
52	1562.045562
53	1536.98454
54	1512.978105
55	1489.056372
56	1465.692701
57	1442.803614
58	1420.976165
59	1398.887977
60	1377.803266
61	1356.981481
62	1336.564901
63	1316.726288
64	1297.526809
65	1278.530471
66	1259.993519
67	1241.773147
68	1223.958914
69	1207.018373
70	1190.165983
71	1173.747573
72	1157.781274
73	1142.207985
74	1126.596319
75	1111.893948
76	1097.159259
77	1082.860211
78	1068.88922
79	1055.392995
80	1042.222715
81	1029.285253
82	1016.586583
83	1004.40298
84	992.4840689
85	980.9573105
86	969.6580413
87	958.6640634
88	947.9789923
89	937.476234
90	927.2825485
91	917.3513641
92	907.8375447
93	898.348221
94	889.2873485
95	880.3960424
96	871.8547332
97	863.3359094
98	855.0453437
99	847.0939791
100	839.4205501
101	831.7934984
102	824.4233212
103	817.3354565
104	810.3279101
105	803.3718943
106	796.6935543
107	790.3130636
108	783.9749387
109	777.850281
110	771.9109628
111	766.1791428
112	760.6176542
113	755.3058732
114	750.1759055
115	745.0693242
116	740.2071266
117	735.3470519
118	730.7856431
119	726.144542
120	721.8668276
121	717.6454661
122	713.5370167
123	709.339041
124	705.4062775
125	701.6964727
126	698.087415
127	694.4710494
128	690.9812492
129	687.5493226
130	684.291207
131	681.0337995
132	678.0007298
133	675.0398396
134	672.1153065
135	669.3377557
136	666.4531894
137	663.7930035
138	661.223114
139	658.6915829
140	656.1964373
141	653.8072998
142	651.4636514
143	649.2567525
144	647.0410666
145	645.0095977
146	642.9062553
147	641.0078863
148	639.0336161
149	637.1966632
150	635.3573894
151	633.6260123
152	631.9986156
153	630.3475874
154	628.7594146
155	627.2079311
156	625.7488819
157	624.2570316
158	622.8666187
159	621.5330041
160	620.1672145
161	618.8888251
162	617.5876325
163	616.3378072
164	615.1217822
165	613.9882149
166	612.8705323
167	611.7825001
168	610.7255799
169	609.6643437
170	608.6589909
171	607.6813558
172	606.7471565
173	605.8342873
174	604.9792529
175	604.0996758
176	603.2833829
177	602.4409266
178	601.7048204
179	600.9246695
180	600.2012147
181	599.434189
182	598.7793866
183	598.0624445
184	597.3936101
185	596.7351268
186	596.0886727
187	595.4841479
188	594.8515755
189	594.2445208
190	593.6681695
191	593.1564362
192	592.5968928
193	592.0497661
194	591.5039142
195	591.0490816
196	590.5456579
197	590.0965712
198	589.6569291
199	589.2245145
200	588.7666595
201	588.3226041
202	587.8661042
203	587.4327998
204	587.0478269
205	586.6601437
206	586.2495799
207	585.8527608
208	585.4823559
209	585.1152844
210	584.7701583
211	584.4233227
212	584.0808102
213	583.7651741
214	583.4534535
215	583.1616553
216	582.8361795
217	582.5694092
218	582.2749455
219	581.9757136
220	581.6825225
221	581.4363566
222	581.1728041
223	580.914939
224	580.6725333
225	580.4216238
226	580.1487945
227	579.8867783
228	579.6636733
229	579.4229358
230	579.2125781
231	579.0153214
232	578.8274004
233	578.6270535
234	578.4169255
235	578.2202485
236	578.0391874
237	577.8501484
238	577.650118
239	577.449335
240	577.2600515
241	577.0560557
242	576.8549306
243	576.6725049
244	576.4713136
245	576.2883247
246	576.1408083
247	575.9754429
248	575.806024
249	575.6612106
250	575.4934737
251	575.3419458
252	575.1507592
253	575.0071131
254	574.8215739
255	574.6545163
256	574.5132449
257	574.3812266
258	574.2309818
259	574.1048857
260	573.9756161
261	573.8656182
262	573.7248247
263	573.6003348
264	573.4713687
265	573.3266674
266	573.1922244
267	573.0423412
268	572.9022963
269	572.7807136
270	572.668568
271	572.5367689
272	572.4137324
273	572.2818149
274	572.1756269
275	572.0870659
276	571.9829541
277	571.8490537
278	571.7337341
279	571.6514462
280	571.5646715
281	571.4559056
282	571.3440462
283	571.2702608
284	571.1816942
285	571.1031533
286	570.996105
287	570.8961582
288	570.8112941
289	570.7423982
290	570.6664204
291	570.5876309
292	570.4760171
293	570.3761263
294	570.2842985
295	570.1942372
296	570.1127814
297	570.0291445
298	569.9412615
299	569.871071
300	569.7963682
301	569.6921861
302	569.5714176
303	569.4918679
304	569.398697
305	569.2987299
306	569.2321593
307	569.1521165
308	569.0438734
309	568.9947541
310	568.9257611
311	568.8273617
312	568.749974
313	568.6730703
314	568.5812376
315	568.5079054
316	568.411129
317	568.3406332
318	568.2823593
319	568.219316
320	568.1554864
321	568.0885485
322	568.0156857
323	567.9554689
324	567.8911916
325	567.7953712
326	567.7201391
327	567.6476958
328	567.5930069
329	567.5365433
330	567.4378188
331	567.3748127
332	567.2920105
333	567.2454189
334	567.1660723
335	567.1114888
336	567.0471654
337	567.0019118
338	566.9331497
339	566.8836006
340	566.7990784
341	566.7422911
342	566.6986853
343	566.6339641
344	566.5741337
345	566.4943541
346	566.4353884
347	566.3673667
348	566.3255523
349	566.2721965
350	566.1855129
351	566.1206959
352	566.0761339
353	565.9993582
354	565.9219279
355	565.8293096
356	565.7711786
357	565.6975843
358	565.6400326
359	565.590133
360	565.5336985
361	565.4719938
362	565.3987409
363	565.3557594
364	565.2921236
365	565.2401912
366	565.2101587
367	565.1610922
368	565.1127183
369	565.0354627
370	564.9862891
371	564.9508024
372	564.8795391
373	564.7983374
374	564.7230677
375	564.6713309
376	564.636367
377	564.576616
378	564.5469945
379	564.5218117
380	564.4548433
381	564.3990778
382	564.3265485
383	564.2672037
384	564.2185323
385	564.1681173
386	564.1264402
387	564.0668169
388	564.0123748
389	563.9622948
390	563.9303885
391	563.8839096
392	563.8528518
393	563.8084957
394	563.763994
395	563.7338132
396	563.6772024
397	563.6081761
398	563.5258951
399	563.4545196
400	563.3993238
401	563.3489772
402	563.2991
403	563.2684165
404	563.2219331
405	563.1886119
406	563.117967
407	563.0712664
408	562.9847342
409	562.9183784
410	562.8808995
411	562.8391545
412	562.8011567
413	562.7568214
414	562.6959783
415	562.6633431
416	562.5987696
417	562.5648863
418	562.5186814
419	562.4495353
420	562.3893055
421	562.3366465
422	562.2969287
423	562.2578213
424	562.1878758
425	562.1475438
426	562.1036475
427	562.064624
428	562.0142379
429	561.9683751
430	561.9081144
431	561.8506602
432	561.8222683
433	561.7531991
434	561.7329883
435	561.6943255
436	561.627426
437	561.5719066
438	561.5153563
439	561.4543838
440	561.4110604
441	561.3587214
442	561.3243892
443	561.2615015
444	561.233583
445	561.1750384
446	561.1350607
447	561.1006536
448	561.0425213
449	561.0174536
450	560.9661988
451	560.9175054
452	560.8667442
453	560.8164556
454	560.7845242
455	560.7262349
456	560.6885097
457	560.6537753
458	560.6027757
459	560.5670428
460	560.5090679
461	560.4391905
462	560.3882192
463	560.2903524
464	560.2374688
465	560.1893349
466	560.1483607
467	560.1029955
468	560.0744834
469	560.0236484
470	559.9927124
471	559.9512581
472	559.9103867
473	559.8482679
474	559.8172239
475	559.7649647
476	559.7377296
477	559.6808117
478	559.6251293
479	559.5889947
480	559.5584278
481	559.4857325
482	559.4478095
483	559.3993532
484	559.3448699
485	559.3102138
486	559.2671943
487	559.223042
488	559.2006405
489	559.176273
490	559.0946312
491	559.0336222
492	558.989474
493	558.9625993
494	558.918206
495	558.8636092
496	558.8208169
497	558.7515621
498	558.7042601
499	558.6773747
