iter	Passed	Remaining
0	21	10597
1	39	9733
2	57	9505
3	74	9201
4	91	9025
5	108	8950
6	125	8836
7	142	8748
8	159	8688
9	175	8601
10	192	8545
11	209	8530
12	227	8504
13	243	8443
14	260	8433
15	277	8409
16	294	8370
17	311	8348
18	328	8322
19	345	8290
20	361	8234
21	377	8197
22	393	8166
23	410	8143
24	426	8108
25	443	8079
26	460	8073
27	477	8047
28	493	8021
29	512	8021
30	529	8008
31	545	7977
32	562	7965
33	579	7939
34	596	7927
35	613	7908
36	630	7890
37	647	7873
38	665	7860
39	681	7834
40	697	7808
41	713	7783
42	730	7767
43	747	7748
44	764	7727
45	782	7724
46	798	7698
47	815	7679
48	831	7653
49	848	7635
50	864	7613
51	880	7589
52	898	7575
53	915	7558
54	931	7537
55	947	7515
56	964	7496
57	980	7475
58	997	7455
59	1014	7437
60	1030	7416
61	1046	7395
62	1064	7381
63	1080	7363
64	1097	7341
65	1113	7323
66	1130	7309
67	1147	7292
68	1164	7276
69	1181	7257
70	1198	7239
71	1214	7220
72	1230	7199
73	1247	7179
74	1264	7163
75	1280	7145
76	1296	7123
77	1313	7105
78	1330	7089
79	1346	7070
80	1364	7056
81	1380	7036
82	1397	7020
83	1414	7003
84	1430	6984
85	1447	6966
86	1463	6947
87	1480	6930
88	1497	6913
89	1515	6903
90	1532	6889
91	1549	6871
92	1567	6858
93	1584	6843
94	1601	6828
95	1617	6807
96	1633	6788
97	1650	6771
98	1667	6754
99	1684	6738
100	1699	6715
101	1717	6701
102	1733	6683
103	1750	6665
104	1767	6649
105	1783	6631
106	1800	6612
107	1816	6592
108	1833	6577
109	1849	6557
110	1865	6539
111	1882	6522
112	1899	6505
113	1916	6488
114	1933	6474
115	1950	6455
116	1966	6437
117	1982	6418
118	1999	6400
119	2014	6379
120	2032	6365
121	2049	6349
122	2065	6331
123	2082	6315
124	2099	6299
125	2115	6280
126	2131	6261
127	2149	6245
128	2165	6228
129	2181	6208
130	2198	6192
131	2215	6175
132	2231	6156
133	2248	6141
134	2265	6124
135	2281	6107
136	2298	6090
137	2315	6073
138	2331	6055
139	2348	6037
140	2364	6021
141	2381	6002
142	2397	5985
143	2413	5967
144	2430	5950
145	2447	5934
146	2464	5919
147	2481	5901
148	2497	5884
149	2513	5865
150	2530	5847
151	2547	5832
152	2563	5814
153	2579	5796
154	2596	5778
155	2613	5762
156	2630	5746
157	2647	5730
158	2663	5712
159	2680	5696
160	2697	5680
161	2714	5663
162	2731	5648
163	2749	5633
164	2766	5617
165	2783	5601
166	2800	5583
167	2816	5565
168	2833	5548
169	2850	5533
170	2866	5515
171	2883	5498
172	2901	5484
173	2918	5467
174	2935	5451
175	2951	5434
176	2968	5416
177	2985	5400
178	3002	5384
179	3020	5369
180	3036	5351
181	3053	5334
182	3069	5316
183	3086	5301
184	3104	5285
185	3121	5269
186	3137	5251
187	3153	5233
188	3169	5215
189	3187	5200
190	3204	5183
191	3220	5166
192	3237	5150
193	3254	5133
194	3271	5117
195	3289	5102
196	3306	5086
197	3324	5070
198	3340	5052
199	3357	5036
200	3373	5018
201	3390	5002
202	3408	4987
203	3424	4969
204	3441	4952
205	3457	4934
206	3474	4917
207	3490	4900
